players_recieved,post_date,count
"DUBOIS, PIERRE-LUC ",2023-05-10,14
"BYFIELD, QUINTON",2023-05-13,14
2023 1ST (NYI),2023-06-09,14
2023 1ST (BOS),2023-06-16,14
"KONECNY, TRAVIS",2023-06-15,14
"GARLAND, CONOR",2023-06-12,14
"DEBRINCAT, ALEX ",2023-05-09,14
"DUBOIS, PIERRE-LUC ",2023-05-24,14
"MURRAY, MATT",2023-05-10,14
"MURRAY, MATT",2023-06-02,14
"WILSON, TOM",2023-05-17,14
2023 1ST (BOS),2023-05-15,14
"GARLAND, CONOR",2023-06-11,14
"PESCE, BRETT",2023-06-20,14
2023 1ST (BOS),2023-06-06,14
2023 2ND (CBJ),2023-06-09,13
"SHARANGOVICH, YEGOR ",2023-06-17,13
"KELLER, CLAYTON",2023-06-02,13
2024 2ND (PIT),2023-06-08,13
"KELLER, CLAYTON",2023-06-07,13
"MANTHA, ANTHONY",2023-06-04,13
"PESCE, BRETT",2023-05-30,13
"KELLER, CLAYTON",2023-06-05,13
"CROUSE, LAWSON",2023-06-01,13
"DUBOIS, PIERRE-LUC ",2023-06-06,13
2023 1ST (BOS),2023-05-13,13
"DRURY, JACK",2023-06-09,13
2024 2ND (PIT),2023-06-17,13
"YAMAMOTO, KAILER",2023-06-14,13
"DURZI, SEAN",2023-05-20,13
"ARVIDSSON, VIKTOR",2023-06-14,13
2023 1ST (VAN),2023-06-02,13
"LAFRENIA RE, ALEXIS ",2023-05-08,13
"SCHEIFELE, MARK",2023-05-15,13
2023 1ST (CAR),2023-06-16,13
2023 2ND (CAR),2023-05-25,13
2023 1ST (BOS),2023-05-25,13
"LAFRENIA RE, ALEXIS ",2023-05-24,13
2023 1ST (FLA),2023-06-07,13
2023 2ND (PHI),2023-06-11,13
"PEEKE, ANDREW",2023-06-12,13
"CROUSE, LAWSON",2023-05-15,13
"PEEKE, ANDREW",2023-06-15,13
2023 1ST (BOS),2023-05-11,13
"NYLANDER, WILLIAM",2023-05-14,13
"PETERSEN, CAL",2023-05-03,13
"MURRAY, MATT",2023-05-25,13
2023 1ST (PIT),2023-06-08,13
2023 1ST (COL),2023-06-15,13
2023 1ST (PIT),2023-06-04,13
"GRANLUND, MIKAEL",2023-06-17,13
2023 1ST (BOS),2023-06-18,13
"DEBRINCAT, ALEX ",2023-04-18,13
"GRANLUND, MIKAEL",2023-06-15,13
"DEBRINCAT, ALEX ",2023-04-14,13
2023 1ST (PIT),2023-06-11,13
"MURRAY, MATT",2023-05-31,13
"KONECNY, TRAVIS",2023-05-14,13
"DVORAK, CHRISTIAN",2023-04-28,13
"KONECNY, TRAVIS",2023-06-05,13
"HANIFIN, NOAH",2023-06-05,13
"SAROS, JUUSE",2023-06-08,13
"MURRAY, MATT",2023-06-07,13
"KONECNY, TRAVIS",2023-05-24,13
"MURRAY, MATT",2023-05-19,13
2023 1ST (PIT),2023-06-12,13
"LINDHOLM, ELIAS",2023-05-25,13
"KONECNY, TRAVIS",2023-05-22,13
"HELLEBUYCK, CONNOR",2023-06-02,13
"NYLANDER, WILLIAM",2023-05-16,13
"NYLANDER, WILLIAM",2023-05-17,13
"HART, CARTER",2023-06-14,13
"HART, CARTER",2023-06-13,13
"KONECNY, TRAVIS",2023-05-16,13
"MURRAY, MATT",2023-05-17,13
"NYLANDER, WILLIAM",2023-05-19,13
2023 2ND (LAK),2023-06-16,13
2023 1ST (BOS),2023-05-17,12
2023 2ND (BOS),2023-06-15,12
"MANTHA, ANTHONY",2023-06-08,12
"DEBRINCAT, ALEX ",2023-06-01,12
"MANTHA, ANTHONY",2023-06-07,12
"GARLAND, CONOR",2023-06-14,12
"MURRAY, MATT",2023-05-09,12
2023 2ND (BOS),2023-06-14,12
"PESCE, BRETT",2023-05-25,12
"BYFIELD, QUINTON",2023-05-20,12
"HANIFIN, NOAH",2023-05-25,12
"DEBRINCAT, ALEX ",2023-04-26,12
"LINDHOLM, ELIAS",2023-06-14,12
"PEEKE, ANDREW",2023-06-13,12
"WILSON, TOM",2023-05-16,12
2023 1ST (FLA),2023-05-15,12
2023 1ST (BOS),2023-05-14,12
2023 1ST (ANA),2023-06-14,12
"NYLANDER, WILLIAM",2023-05-09,12
"DUBOIS, PIERRE-LUC ",2023-05-30,12
"HELLEBUYCK, CONNOR",2023-06-14,12
"HELLEBUYCK, CONNOR",2023-05-08,12
2023 1ST (FLA),2023-04-29,12
"HELLEBUYCK, CONNOR",2023-05-20,12
"NYLANDER, WILLIAM",2023-05-18,12
"SHARANGOVICH, YEGOR ",2023-06-16,12
"CROUSE, LAWSON",2023-05-22,12
"CROUSE, LAWSON",2023-05-13,12
"NYLANDER, WILLIAM",2023-05-25,12
"BOQVIST, ADAM",2023-06-12,12
2023 2ND (NYR),2023-05-16,12
2023 1ST (FLA),2023-06-11,12
"HELLEBUYCK, CONNOR",2023-06-07,12
"NYLANDER, WILLIAM",2023-06-01,12
"HANIFIN, NOAH",2023-06-08,12
2023 1ST (BOS),2023-05-09,12
2023 1ST (COL),2023-06-07,12
2024 1ST (LAK),2023-06-13,12
"HANIFIN, NOAH",2023-06-07,12
"GRANLUND, MIKAEL",2023-06-12,12
"NYLANDER, WILLIAM",2023-06-19,12
2023 1ST (COL),2023-06-14,12
2024 1ST (LAK),2023-06-16,12
2023 2ND (OTT),2023-06-06,12
